address,amount_idm,amount_wei,tier,note
0xa5a1026b1449cef6337e2c90341bc99abc5c72f1,129419.85941846,129419859418460000000000,tge_full,transfer terverifikasi
0xa8c57619ef68c0448a151c3c6ab78908aa041505,128367.30985351,128367309853510000000000,tge_full,transfer terverifikasi
0x8b125c17f6c0bd1cbad7630ab034fba7915a86c3,126210.25254180,126210252541800000000000,tge_full,transfer terverifikasi
0x896c215e67032a023ae5a04fe460adc255e21683,125209.44688770,125209446887700000000000,tge_full,transfer terverifikasi
0x4041d62bd8c9c10d0550c6ef03420940d9fccd1d,123830.63890980,123830638909800000000000,tge_full,transfer terverifikasi
0xa4d4f1b06d0c38a45ff77150986f22bf06b0cea4,121803.41377740,121803413777400000000000,tge_full,transfer terverifikasi
0x14d72df4a38b17fc2774ee4005171980c38e46e6,121695.13204116,121695132041160000000000,tge_full,transfer terverifikasi
0x64e41f52e9f686b5eb70fafb240b1c3861d49bda,121400.13707949,121400137079490000000000,tge_full,transfer terverifikasi
0xf10a57a94d73690ca39247abcef0dc15bc52cab2,121363.37300867,121363373008670000000000,tge_full,transfer terverifikasi
0x3b54cf24b9c8173f36cdebb156ab854141fd88c1,116191.27860999,116191278609990000000000,tge_full,transfer terverifikasi
0xc235d972c233eacd8dbb4e5547633455b7f7c404,114319.92785102,114319927851020000000000,tge_full,transfer terverifikasi
0xd4ccb5ac5ae6e4035be93ed6415df5980a81296e,112636.47119861,112636471198610000000000,tge_full,transfer terverifikasi
0x65aeacc360c5dfb6be953df0673cd8008658d074,111140.16621750,111140166217500000000000,tge_full,transfer terverifikasi
0x023df8b851d9654ec3d706357f99546bfdbb1f56,109054.68667717,109054686677170000000000,tge_full,transfer terverifikasi
0x1492f4c46995abd92882ffcdc3e0ce2a5311e629,108232.22523545,108232225235450000000000,tge_full,transfer terverifikasi
0x7b3d3f373870aa9076089a1ac8ca1c5929e90563,107320.27628799,107320276287990000000000,tge_full,transfer terverifikasi
0x01c5bd8764ab2668dc71d61718a855b6b03877d3,105975.85924755,105975859247550000000000,tge_full,transfer terverifikasi
0x805b63c49f2d81adf52ce37f946d3274e71db59c,105438.68924752,105438689247520000000000,tge_full,transfer terverifikasi
0x17bcddfd3c30d205646e547807ab34c9cb52a3f1,105406.71226264,105406712262640000000000,tge_full,transfer terverifikasi
0x992ce2a8e72e3140814c2892caf3935401649bcf,104418.35099914,104418350999140000000000,tge_full,transfer terverifikasi
0xfe82b6275b3914f6049c41d9ab34ae4c1a82298e,104057.35049891,104057350498910000000000,tge_full,transfer terverifikasi
0xf130b2dde8155f80eca83ec8dda50d61e3c0c929,104021.33014382,104021330143820000000000,tge_full,transfer terverifikasi
0x1b6e3711d29d57b7663541c7a90666ebf09f94c9,103507.06077238,103507060772380000000000,tge_full,transfer terverifikasi
0xf2ba4fe58bb202950b807cb371ee2177e237cf64,102891.46702645,102891467026450000000000,tge_full,transfer terverifikasi
0x07d526d1550dbd10456d05b7244365eaf77c87d6,102435.46231402,102435462314020000000000,tge_full,transfer terverifikasi
0x96dc5899fac97d387bf678269cce406ae38313eb,102245.04238043,102245042380430000000000,tge_full,transfer terverifikasi
0x7ad97e5174d4a541e1431875a6b4ace71b25b430,100972.63700465,100972637004650000000000,tge_full,transfer terverifikasi
0x8ce759aa76fb859167be866bee2c2abbffe12524,100968.20203344,100968202033440000000000,tge_full,transfer terverifikasi
0x90eab9878921e7b0753c1554f3ed50e0a570b90d,100942.97726645,100942977266450000000000,tge_full,transfer terverifikasi
